,school_name,type,student_name,budget
136,Huang High School,District,Kent Fernandez,1910635
137,Huang High School,District,Michelle Martin,1910635
138,Huang High School,District,John Sparks,1910635
139,Huang High School,District,Ann Blake,1910635
140,Huang High School,District,Melissa Miller,1910635
141,Huang High School,District,Steven Houston,1910635
142,Huang High School,District,Kristen Anderson,1910635
143,Huang High School,District,Cory Jones,1910635
144,Huang High School,District,Jennifer Mora,1910635
145,Huang High School,District,Dennis Griffin,1910635
146,Huang High School,District,Darryl Brown,1910635
147,Huang High School,District,Martin Mosley,1910635
148,Huang High School,District,Joyce Diaz,1910635
149,Huang High School,District,Jeffrey Rose,1910635
150,Huang High School,District,Jamie Moreno,1910635
151,Huang High School,District,Catherine Williams,1910635
152,Huang High School,District,Lauren Byrd,1910635
153,Huang High School,District,Vanessa Frazier,1910635
154,Huang High School,District,Stephen Bryant,1910635
155,Huang High School,District,Lawrence Liu,1910635
156,Huang High School,District,Joseph Larsen,1910635
157,Huang High School,District,Susan Collier,1910635
158,Huang High School,District,Meagan Jensen,1910635
159,Huang High School,District,Julie Harper,1910635
160,Huang High School,District,Meghan Carroll,1910635
161,Huang High School,District,Wanda Horton,1910635
162,Huang High School,District,Mary Campbell,1910635
163,Huang High School,District,Jennifer Rodgers,1910635
164,Huang High School,District,Heather Cooper,1910635
165,Huang High School,District,Ryan Perez,1910635
166,Huang High School,District,Ryan Cox,1910635
167,Huang High School,District,Darren Zavala,1910635
168,Huang High School,District,Joseph Morales III,1910635
169,Huang High School,District,Aaron West,1910635
170,Huang High School,District,James Combs,1910635
171,Huang High School,District,Curtis Garner,1910635
172,Huang High School,District,Sarah Miller,1910635
173,Huang High School,District,Samantha Thomas,1910635
174,Huang High School,District,Robert Atkins,1910635
175,Huang High School,District,Alexis Crawford,1910635
176,Huang High School,District,Ryan Maddox,1910635
177,Huang High School,District,Jonathan Meyer,1910635
178,Huang High School,District,Donna Wagner,1910635
179,Huang High School,District,William Kennedy,1910635
180,Huang High School,District,Kimberly Martinez,1910635
181,Huang High School,District,Matthew Anderson,1910635
182,Huang High School,District,Kari Miller,1910635
183,Huang High School,District,Jenna Luna,1910635
184,Huang High School,District,Justin Contreras,1910635
185,Huang High School,District,Mary Fox,1910635
186,Huang High School,District,Joseph Perkins,1910635
187,Huang High School,District,Kelly Phillips,1910635
188,Huang High School,District,Justin Thornton,1910635
189,Huang High School,District,Joshua Barber,1910635
190,Huang High School,District,Travis Jackson,1910635
191,Huang High School,District,Jordan Beasley,1910635
192,Huang High School,District,Kevin Allen,1910635
193,Huang High School,District,Victoria Harris,1910635
194,Huang High School,District,Victoria Joseph,1910635
195,Huang High School,District,Brandy Marshall,1910635
196,Huang High School,District,Ryan Jimenez,1910635
197,Huang High School,District,Michael Chan,1910635
198,Huang High School,District,Christopher Phillips,1910635
199,Huang High School,District,Kevin Murphy,1910635
200,Huang High School,District,Vanessa Harper,1910635
201,Huang High School,District,James Ferguson,1910635
202,Huang High School,District,Carol Schroeder,1910635
203,Huang High School,District,Jerry Phillips,1910635
204,Huang High School,District,Kristin Wade,1910635
205,Huang High School,District,Jessica Warner,1910635
206,Huang High School,District,Dorothy Burke,1910635
207,Huang High School,District,Bethany Walter,1910635
208,Huang High School,District,Melissa Avery,1910635
209,Huang High School,District,Daniel Sutton,1910635
210,Huang High School,District,Ryan Johnson,1910635
211,Huang High School,District,Timothy Quinn,1910635
212,Huang High School,District,Zachary Allen,1910635
213,Huang High School,District,Lauren Schmitt,1910635
214,Huang High School,District,Stephanie Armstrong,1910635
215,Huang High School,District,Ruben Rivera,1910635
216,Huang High School,District,Patricia Petty,1910635
217,Huang High School,District,Joseph Jacobs,1910635
218,Huang High School,District,Bianca Wilson,1910635
219,Huang High School,District,Donald Perez,1910635
220,Huang High School,District,Curtis Gomez,1910635
221,Huang High School,District,Courtney Brown,1910635
222,Huang High School,District,Nicole Randall,1910635
223,Huang High School,District,Steven Lambert,1910635
224,Huang High School,District,Anthony Alvarez,1910635
225,Huang High School,District,Shawn Farrell,1910635
226,Huang High School,District,Jesus Schmidt,1910635
227,Huang High School,District,Laura Wright,1910635
228,Huang High School,District,Steven Smith,1910635
229,Huang High School,District,Norman Thompson,1910635
230,Huang High School,District,Anthony Wright,1910635
231,Huang High School,District,Kayla Watts,1910635
232,Huang High School,District,Aimee Johnson,1910635
233,Huang High School,District,Heidi Scott,1910635
234,Huang High School,District,Anthony Williams,1910635
235,Huang High School,District,Sarah Hill,1910635
236,Huang High School,District,Kim Wang,1910635
237,Huang High School,District,Beth Manning,1910635
238,Huang High School,District,Ryan Hanson,1910635
239,Huang High School,District,James Wood,1910635
240,Huang High School,District,Corey Greene,1910635
241,Huang High School,District,John Carter,1910635
242,Huang High School,District,Beth Garza,1910635
243,Huang High School,District,Karen Jones,1910635
244,Huang High School,District,Stephanie Poole,1910635
245,Huang High School,District,Lisa Brown,1910635
246,Huang High School,District,Paul Scott,1910635
247,Huang High School,District,Evelyn Buck,1910635
248,Huang High School,District,Terry Harrell,1910635
249,Huang High School,District,Leah Skinner,1910635
250,Huang High School,District,Anthony Mercado,1910635
251,Huang High School,District,Walter Kelly,1910635
252,Huang High School,District,Lori Evans,1910635
253,Huang High School,District,Ashley Jones,1910635
254,Huang High School,District,Amber Soto,1910635
255,Huang High School,District,Patrick Phillips,1910635
256,Huang High School,District,Linda Curry,1910635
257,Huang High School,District,Alexander Obrien,1910635
258,Huang High School,District,Vincent Garza,1910635
259,Huang High School,District,Terry Marsh,1910635
260,Huang High School,District,Angela Perkins DVM,1910635
261,Huang High School,District,Peter Hampton,1910635
262,Huang High School,District,David Cross,1910635
263,Huang High School,District,Clinton Ortega,1910635
264,Huang High School,District,Jamie Escobar,1910635
265,Huang High School,District,Sandra Mason,1910635
266,Huang High School,District,Craig Cole,1910635
267,Huang High School,District,Lisa Warren,1910635
268,Huang High School,District,Maria Howard,1910635
269,Huang High School,District,Michael Porter,1910635
270,Huang High School,District,John Turner,1910635
271,Huang High School,District,Timothy Wang,1910635
272,Huang High School,District,Amanda Taylor,1910635
273,Huang High School,District,Karen Mckenzie,1910635
274,Huang High School,District,Brandon Miles,1910635
275,Huang High School,District,Christina Whitaker,1910635
276,Huang High School,District,Nicole Peterson,1910635
277,Huang High School,District,Ashley Moore,1910635
278,Huang High School,District,Todd Carrillo,1910635
279,Huang High School,District,Robert Williams,1910635
280,Huang High School,District,Ashley Jones,1910635
281,Huang High School,District,Vanessa Parker,1910635
282,Huang High School,District,Robert Carlson,1910635
283,Huang High School,District,Jared Lewis,1910635
284,Huang High School,District,Christopher Hernandez,1910635
285,Huang High School,District,Kimberly Harris,1910635
286,Huang High School,District,Katrina Hill,1910635
287,Huang High School,District,Heather Lee,1910635
288,Huang High School,District,Donald Harmon,1910635
289,Huang High School,District,Elizabeth Sanders,1910635
290,Huang High School,District,Richard Ramsey,1910635
291,Huang High School,District,Carmen Johnson,1910635
292,Huang High School,District,Elaine Osborne,1910635
293,Huang High School,District,Kent Burns,1910635
294,Huang High School,District,Meagan Smith,1910635
295,Huang High School,District,Craig Hahn,1910635
296,Huang High School,District,Jeremy Wu,1910635
297,Huang High School,District,Aaron Rodriguez,1910635
298,Huang High School,District,Matthew Taylor,1910635
299,Huang High School,District,Diana Evans,1910635
300,Huang High School,District,Michele Pearson,1910635
301,Huang High School,District,Erik Wagner,1910635
302,Huang High School,District,Maria Welch,1910635
303,Huang High School,District,Debra Martin,1910635
304,Huang High School,District,Devon Conner,1910635
305,Huang High School,District,Christine Patel,1910635
306,Huang High School,District,David Lopez,1910635
307,Huang High School,District,Nathan Baird,1910635
308,Huang High School,District,Samuel Castillo,1910635
309,Huang High School,District,Rebecca Payne,1910635
310,Huang High School,District,Carl Johnson,1910635
311,Huang High School,District,William Adams,1910635
312,Huang High School,District,Paula Harrison,1910635
313,Huang High School,District,Wayne Atkinson,1910635
314,Huang High School,District,Lindsay Frank,1910635
315,Huang High School,District,Jose Garcia,1910635
316,Huang High School,District,Andrew Gaines,1910635
317,Huang High School,District,Rachael Liu,1910635
318,Huang High School,District,Donald Lewis,1910635
319,Huang High School,District,Shane Edwards,1910635
320,Huang High School,District,Todd Levy,1910635
321,Huang High School,District,Joanna Moore,1910635
322,Huang High School,District,Michael Lewis,1910635
323,Huang High School,District,James Robinson,1910635
324,Huang High School,District,Jeffrey Arellano,1910635
325,Huang High School,District,Heather Allen MD,1910635
326,Huang High School,District,Lori Villarreal,1910635
327,Huang High School,District,Robert Harper,1910635
328,Huang High School,District,Karen Villegas,1910635
329,Huang High School,District,Tracey Crane,1910635
330,Huang High School,District,Elizabeth Allen,1910635
331,Huang High School,District,Jorge Lynn,1910635
332,Huang High School,District,Harold Gordon,1910635
333,Huang High School,District,Nicholas Mcclain,1910635
334,Huang High School,District,Tanya Harris,1910635
335,Huang High School,District,Amy Smith,1910635
336,Huang High School,District,Kathy Morse,1910635
337,Huang High School,District,Andrea Wood,1910635
338,Huang High School,District,Maureen Massey,1910635
339,Huang High School,District,Daniel Smith,1910635
340,Huang High School,District,Alexandra Smith,1910635
341,Huang High School,District,Caitlin Hall,1910635
342,Huang High School,District,Jose Carlson,1910635
343,Huang High School,District,Deborah Macias,1910635
344,Huang High School,District,Dwayne Rice,1910635
345,Huang High School,District,Matthew Harris,1910635
346,Huang High School,District,Eric Bowman,1910635
347,Huang High School,District,Samuel Ali,1910635
348,Huang High School,District,David Miller,1910635
349,Huang High School,District,James Moreno,1910635
350,Huang High School,District,Brooke Austin,1910635
351,Huang High School,District,Alisha Martin,1910635
352,Huang High School,District,Neil Rodriguez,1910635
353,Huang High School,District,Gary Williams,1910635
354,Huang High School,District,Michael Pittman,1910635
355,Huang High School,District,Stephanie Palmer,1910635
356,Huang High School,District,Christine Perry,1910635
357,Huang High School,District,Suzanne David,1910635
358,Huang High School,District,Amber Smith,1910635
359,Huang High School,District,Ryan Jones,1910635
360,Huang High School,District,Emily Ford,1910635
361,Huang High School,District,Kelsey Shea,1910635
362,Huang High School,District,Katherine Wallace,1910635
363,Huang High School,District,Erica Conway,1910635
364,Huang High School,District,Tyler Parker,1910635
365,Huang High School,District,Michael Parks,1910635
366,Huang High School,District,Elizabeth Hunt,1910635
367,Huang High School,District,Grant Jackson,1910635
368,Huang High School,District,Daniel Matthews,1910635
369,Huang High School,District,Diana Silva,1910635
370,Huang High School,District,Frank Garza,1910635
371,Huang High School,District,Terri Fischer,1910635
372,Huang High School,District,Robert Goodwin,1910635
373,Huang High School,District,Bobby Ruiz,1910635
374,Huang High School,District,Stephanie Taylor,1910635
375,Huang High School,District,Erin Hill,1910635
376,Huang High School,District,Erin Cohen,1910635
377,Huang High School,District,Jeffrey Morris,1910635
378,Huang High School,District,Elizabeth Simpson,1910635
379,Huang High School,District,Jennifer Davis,1910635
380,Huang High School,District,Rachel Burton,1910635
381,Huang High School,District,Joseph Wilkins,1910635
382,Huang High School,District,Lawrence Montgomery,1910635
383,Huang High School,District,Patricia Howard,1910635
384,Huang High School,District,Jessica Hanson,1910635
385,Huang High School,District,Donna Dean,1910635
386,Huang High School,District,Edwin Reid,1910635
387,Huang High School,District,Jodi Brown,1910635
388,Huang High School,District,Elizabeth Richard,1910635
389,Huang High School,District,Aaron Martinez,1910635
390,Huang High School,District,Stephen Fischer,1910635
391,Huang High School,District,Diana Reeves,1910635
392,Huang High School,District,Jeffrey Eaton,1910635
393,Huang High School,District,Evelyn Miller,1910635
394,Huang High School,District,Christopher Kidd,1910635
395,Huang High School,District,Sarah Adams,1910635
396,Huang High School,District,Melinda Nelson,1910635
397,Huang High School,District,Kevin Brooks,1910635
398,Huang High School,District,John Bowen,1910635
399,Huang High School,District,Tracie Abbott,1910635
400,Huang High School,District,Allen Foster,1910635
401,Huang High School,District,Kathryn Elliott,1910635
402,Huang High School,District,Christopher Walker,1910635
403,Huang High School,District,Cynthia Martin,1910635
404,Huang High School,District,Amanda Bennett,1910635
405,Huang High School,District,Dennis Padilla,1910635
406,Huang High School,District,Antonio Miller,1910635
407,Huang High School,District,Melissa Trevino,1910635
408,Huang High School,District,Andrew King,1910635
409,Huang High School,District,John Martinez,1910635
410,Huang High School,District,Lauren King,1910635
411,Huang High School,District,Stephanie Mercado,1910635
412,Huang High School,District,William Smith,1910635
413,Huang High School,District,Jonathan Marshall,1910635
414,Huang High School,District,Luke Lowery MD,1910635
415,Huang High School,District,Emily Reynolds,1910635
416,Huang High School,District,Kevin Mclean,1910635
417,Huang High School,District,Elizabeth Taylor,1910635
418,Huang High School,District,Pamela Rivas,1910635
419,Huang High School,District,Tammy Martin,1910635
420,Huang High School,District,Holly Watkins,1910635
421,Huang High School,District,Patrick Chen,1910635
422,Huang High School,District,Michelle Griffin,1910635
423,Huang High School,District,Theresa Andrews,1910635
424,Huang High School,District,Alan Henry,1910635
425,Huang High School,District,Dr. Larry Hines,1910635
426,Huang High School,District,Travis Frazier,1910635
427,Huang High School,District,Julie Jones,1910635
428,Huang High School,District,Natalie Reynolds,1910635
429,Huang High School,District,Jessica Cohen,1910635
430,Huang High School,District,Jason Robinson,1910635
431,Huang High School,District,Heather Palmer,1910635
432,Huang High School,District,Emily Cardenas MD,1910635
433,Huang High School,District,Scott Glover,1910635
434,Huang High School,District,Jacqueline White,1910635
435,Huang High School,District,Mrs. Elizabeth Espinoza DDS,1910635
436,Huang High School,District,Toni Porter,1910635
437,Huang High School,District,Jennifer Mejia,1910635
438,Huang High School,District,Brenda Peterson,1910635
439,Huang High School,District,Paul Hamilton,1910635
440,Huang High School,District,Patricia Nguyen,1910635
441,Huang High School,District,James Ho,1910635
442,Huang High School,District,Elizabeth Cohen,1910635
443,Huang High School,District,Stephanie Lane,1910635
444,Huang High School,District,Dawn Rhodes,1910635
445,Huang High School,District,Theresa Robinson,1910635
446,Huang High School,District,Breanna Mosley,1910635
447,Huang High School,District,Carmen Wilson,1910635
448,Huang High School,District,Ian Brown,1910635
449,Huang High School,District,Kathleen Matthews,1910635
450,Huang High School,District,Bryan Diaz,1910635
451,Huang High School,District,Gina Sweeney,1910635
452,Huang High School,District,Alan Garcia,1910635
453,Huang High School,District,Erik Wheeler,1910635
454,Huang High School,District,Stephanie Robles,1910635
455,Huang High School,District,Samantha Hanson,1910635
456,Huang High School,District,Christopher Williams,1910635
457,Huang High School,District,Stephanie Hart,1910635
458,Huang High School,District,Mrs. Lisa Becker,1910635
459,Huang High School,District,Bianca Johnson,1910635
460,Huang High School,District,Amy Steele,1910635
461,Huang High School,District,Gina Contreras,1910635
462,Huang High School,District,Jaime Alexander,1910635
463,Huang High School,District,Kevin Coleman,1910635
464,Huang High School,District,Caitlin Williams,1910635
465,Huang High School,District,Joseph Lloyd,1910635
466,Huang High School,District,Carrie Hernandez,1910635
467,Huang High School,District,Mr. Travis Young,1910635
468,Huang High School,District,Francis Wright,1910635
469,Huang High School,District,Joel Harper,1910635
470,Huang High School,District,Eduardo Park,1910635
471,Huang High School,District,Melissa Yoder,1910635
472,Huang High School,District,Donna Campbell,1910635
473,Huang High School,District,Connie Delacruz,1910635
474,Huang High School,District,Luis Parker,1910635
475,Huang High School,District,Pamela Watts,1910635
476,Huang High School,District,Lindsey Mitchell,1910635
477,Huang High School,District,Brenda Price,1910635
478,Huang High School,District,Joseph Howard,1910635
479,Huang High School,District,Amy Evans,1910635
480,Huang High School,District,Paula Fernandez DVM,1910635
481,Huang High School,District,Amber Cunningham,1910635
482,Huang High School,District,Preston Wheeler,1910635
483,Huang High School,District,James Lopez,1910635
484,Huang High School,District,Chad Drake,1910635
485,Huang High School,District,Samuel Blackburn,1910635
486,Huang High School,District,Shawn Nielsen,1910635
487,Huang High School,District,Eric Perez,1910635
488,Huang High School,District,Kevin Montgomery,1910635
489,Huang High School,District,Terry Thomas,1910635
490,Huang High School,District,Kim Meyer,1910635
491,Huang High School,District,Michael Townsend,1910635
492,Huang High School,District,Ronnie Rodriguez,1910635
493,Huang High School,District,Savannah Smith,1910635
494,Huang High School,District,Shane Nguyen,1910635
495,Huang High School,District,Michael Brown,1910635
496,Huang High School,District,Robert Young,1910635
497,Huang High School,District,Daniel Griffin,1910635
498,Huang High School,District,James Johnson,1910635
499,Huang High School,District,Mary Cox,1910635
500,Huang High School,District,Tina Aguirre,1910635
501,Huang High School,District,Jillian Mcdonald,1910635
502,Huang High School,District,Matthew Branch,1910635
503,Huang High School,District,Christopher Jordan,1910635
504,Huang High School,District,Victor Mcguire,1910635
505,Huang High School,District,Erin Arnold,1910635
506,Huang High School,District,Nicholas Wu,1910635
507,Huang High School,District,Kristen Wilson,1910635
508,Huang High School,District,Morgan Moore,1910635
509,Huang High School,District,Stephen Smith,1910635
510,Huang High School,District,Jeremy Romero,1910635
511,Huang High School,District,Julie Bush,1910635
512,Huang High School,District,Brittany Taylor,1910635
513,Huang High School,District,James Kim,1910635
514,Huang High School,District,Ashley Roberts,1910635
515,Huang High School,District,Brandon Johnson,1910635
516,Huang High School,District,David Davenport,1910635
517,Huang High School,District,Mark Washington,1910635
518,Huang High School,District,Alicia Marshall,1910635
519,Huang High School,District,Barbara Santana,1910635
520,Huang High School,District,Samantha Parker,1910635
521,Huang High School,District,Joseph Walters,1910635
522,Huang High School,District,Michael Zamora,1910635
523,Huang High School,District,Kyle Cobb,1910635
524,Huang High School,District,Jill Clark,1910635
525,Huang High School,District,Sarah Warren,1910635
526,Huang High School,District,Jennifer Robinson,1910635
527,Huang High School,District,Patricia Johnson,1910635
528,Huang High School,District,Henry Evans,1910635
529,Huang High School,District,Alexander Ramsey,1910635
530,Huang High School,District,Brandon Stephens,1910635
531,Huang High School,District,Jeff Holland,1910635
532,Huang High School,District,Samuel Schultz,1910635
533,Huang High School,District,Brett Johnson,1910635
534,Huang High School,District,Daniel Sherman,1910635
535,Huang High School,District,Justin Mccall,1910635
536,Huang High School,District,Jonathan Evans,1910635
537,Huang High School,District,Jacqueline Kennedy,1910635
538,Huang High School,District,Martin Stephenson,1910635
539,Huang High School,District,Lindsey Lane,1910635
540,Huang High School,District,Jessica Hart,1910635
541,Huang High School,District,Edward Lucas,1910635
542,Huang High School,District,Lisa Osborne,1910635
543,Huang High School,District,Hannah Black,1910635
544,Huang High School,District,Alexander Paul,1910635
545,Huang High School,District,Brenda Wong,1910635
546,Huang High School,District,Thomas Delgado,1910635
547,Huang High School,District,Jeremy Sutton,1910635
548,Huang High School,District,Paula Donaldson,1910635
549,Huang High School,District,Valerie Thompson,1910635
550,Huang High School,District,John Schaefer,1910635
551,Huang High School,District,Jesus Manning,1910635
552,Huang High School,District,Tyrone Lawson,1910635
553,Huang High School,District,Carl May,1910635
554,Huang High School,District,Brittany Russell,1910635
555,Huang High School,District,Philip Edwards,1910635
556,Huang High School,District,Robert Aguilar,1910635
557,Huang High School,District,Aaron Russo,1910635
558,Huang High School,District,Tracy Andrade,1910635
559,Huang High School,District,Amy Sullivan,1910635
560,Huang High School,District,Howard Beck,1910635
561,Huang High School,District,Dr. Xavier Bell II,1910635
562,Huang High School,District,Dawn Schultz,1910635
563,Huang High School,District,Caleb Lucas,1910635
564,Huang High School,District,Barbara Gonzalez,1910635
565,Huang High School,District,Charles Yang,1910635
566,Huang High School,District,David Gallagher,1910635
567,Huang High School,District,Bethany Vargas,1910635
568,Huang High School,District,Jennifer Schultz,1910635
569,Huang High School,District,Paula Marshall,1910635
570,Huang High School,District,Jordan Elliott,1910635
571,Huang High School,District,Samantha Mcmillan,1910635
572,Huang High School,District,Judith Johnson,1910635
573,Huang High School,District,Grace Palmer,1910635
574,Huang High School,District,Brandon Ramirez,1910635
575,Huang High School,District,Carol Smith,1910635
576,Huang High School,District,Matthew Odom,1910635
577,Huang High School,District,Erika Gray,1910635
578,Huang High School,District,Donna Kramer,1910635
579,Huang High School,District,Jonathan Snyder,1910635
580,Huang High School,District,Frank Howe,1910635
581,Huang High School,District,Amy Beck,1910635
582,Huang High School,District,Lori Holmes,1910635
583,Huang High School,District,Rebekah Hampton,1910635
584,Huang High School,District,Perry Bishop,1910635
585,Huang High School,District,Andrew Hanson MD,1910635
586,Huang High School,District,Jody Hughes,1910635
587,Huang High School,District,Anna Garcia,1910635
588,Huang High School,District,Colleen Walker,1910635
589,Huang High School,District,Danny Bridges,1910635
590,Huang High School,District,Kristina Ford,1910635
591,Huang High School,District,Sabrina Davidson,1910635
592,Huang High School,District,Alexander Freeman,1910635
593,Huang High School,District,Jack Davis,1910635
594,Huang High School,District,Victor Rivera,1910635
595,Huang High School,District,Elizabeth Pena,1910635
596,Huang High School,District,Neil Castro,1910635
597,Huang High School,District,Michael Briggs,1910635
598,Huang High School,District,Anna Andersen,1910635
599,Huang High School,District,Elizabeth Oconnor,1910635
600,Huang High School,District,Zachary Brooks,1910635
601,Huang High School,District,Scott Jackson,1910635
602,Huang High School,District,Mary Fuentes,1910635
603,Huang High School,District,Denise Reyes,1910635
604,Huang High School,District,Janice Collier,1910635
605,Huang High School,District,Tina Barber,1910635
606,Huang High School,District,Keith Rojas,1910635
607,Huang High School,District,Michelle Decker,1910635
608,Huang High School,District,James Smith,1910635
609,Huang High School,District,Alexandra Thompson,1910635
610,Huang High School,District,Jacqueline Campbell,1910635
611,Huang High School,District,Austin Clark,1910635
612,Huang High School,District,Brooke Thomas,1910635
613,Huang High School,District,Molly Smith,1910635
614,Huang High School,District,Pamela Beck,1910635
615,Huang High School,District,Timothy Morris,1910635
616,Huang High School,District,Lauren White,1910635
617,Huang High School,District,Jessica Beltran,1910635
618,Huang High School,District,Alexandra Jones,1910635
619,Huang High School,District,Evelyn Rice,1910635
620,Huang High School,District,Stephen Ellis,1910635
621,Huang High School,District,Caroline Smith,1910635
